PH,potential,conductivity,Output
6.7,21.9,1588,0
6.7,22.8,1537,0
6.7,23.3,1549,0
6.7,20.4,1114,0
6.8,19.9,1321,0
6.8,19.6,1314,0
6.8,19.1,1354,0
6.7,22.8,1606,0
6.7,23.1,1600,0
6.7,23.3,1610,0
6.8,18.7,1321,0
6.7,23.1,1607,0
6.7,20.1,1527,0
6.8,22.1,1429,0
6.7,21.6,1476,0
6.7,22.7,1546,0
6.7,22.9,1684,0
6.7,22.2,1628,0
6.8,19.6,1454,0
6.7,21.7,1619,0
6.8,22,1652,0
6.8,18.5,1423,0
6.8,19.9,1473,0
6.7,20.7,1612,0
6.8,19.3,1577,0
6.7,21,1587,0
6.8,21.2,1627,0
6.8,19.1,1449,0
6.8,20.2,1344,0
6.7,20.9,1783,0
6.8,19.4,1704,0
6.8,20.1,1695,0
6.7,20.5,1730,0
6.8,17.8,1430,0
6.8,17.5,1702,0
6.8,19.5,1708,0
6.8,16.2,1508,0
6.7,22.9,1191,1
6.7,17.2,1576,1
6.7,25,1781,1
6.1,54.1,1113,1
6.3,41.1,1194,1
6.6,19.4,1505,1
6.8,19.8,1577,1
6.7,16.8,1448,1
6.7,21.2,1366,1
6.2,50.6,2.71,1
6.5,37.1,1572,1
6.7,18.5,1642,1
6.7,22,1463,1
6.6,22.7,2.47,1
6.6,23.8,1510,1
6.4,34.3,1560,1
6.6,23,1415,1
6.6,20.3,1426,1
6.6,30.1,2.23,1
6.1,51.5,2.47,1
6.2,50.6,1294,1
7.5,75.5,1267,1
6.7,25.3,1556,1
6.7,15.2,1459,1
6.6,31.8,1617,1
6.7,13.6,1583,1
6.5,32.5,2.65,1
6.5,31.1,1432,1
6.1,54.3,1941,1
6.6,27.2,3.6,1
6.6,45.6,3.19,1
6.5,25.9,3.35,1
5.7,76.9,2.75,1
5.8,69.8,2.63,1
5.8,65.5,1135,1
5.5,84.3,3.95,1
5.9,61.3,3.34,1
6.2,43.7,3.98,1
6.6,36.9,3.16,1
6.3,38.8,2.11,1
6.7,19.5,1464,1
6.7,17.9,1573,1
6.8,21.5,1387,1
6.2,49.7,1200,1
6.1,59.1,1274,1
6.8,21.6,1406,1
6.2,48.7,1257,1
6.7,17.8,1548,1
6.7,22.3,1504,1
6.7,22.5,1491,1
6.1,58.6,1284,1
6.2,43,1649,1
6.7,24.2,1555,1
6.7,19,1503,1
6.7,22.3,1523,1
6.1,54.5,2.98,1
6.3,45.2,1535,1
6.6,22.5,1498,1
6.1,53.7,1148,1
6.7,18.8,1525,1
5.5,86.6,1312,1
6.3,49.3,1189,1
6,61,1232,1
6,54,1431,1
6.8,18.8,1418,1
6.5,25.65,2.79,1
6.6,22.3,1483,1
6.2,44.3,1434,1
6.3,37.6,1378,1
6.6,24.1,1391,1
6.6,28.3,2.87,1
6.5,26.3,1462,1
6.4,44.1,1452,1
6.5,28.9,1323,1
5.5,85.4,1253,1
5.2,91.6,1157,1
5.1,101.1,2.91,1
6,51.6,2.25,1
6.2,44.7,2.66,1
6.1,46.9,3.36,1
5.9,56.5,2.88,1
6.8,19.4,1434,1
6.7,16.6,1528,1
6.5,30.7,5.01,1
6.7,27,1577,1
5.9,69,1274,1
5.7,74.4,1607,1
6.5,25.8,1472,1
6.9,16.2,1440,1
6.7,18.1,1507,1
6.6,27,3.14,1
6.7,26.5,1460,1
6.1,56.6,1525,1
5.6,70.7,1279,1
6.5,30,1306,1
6.7,16.6,1430,1
6.6,29.1,3.33,1
5.8,76,2.79,1
6.2,53.9,1481,1
6.1,47.9,1417,1
6.6,29.6,1233,1
5.4,83.3,3.16,1
6.7,22,1505,1
6.6,19,1518,1
6.6,30.4,5.24,1
6.7,25.8,1450,1
5.7,76.3,1247,1
5.4,93.7,1567,1
6.2,56.7,894,1
6.7,24.8,1405,1
6.6,26.4,3.24,1
6.1,55.4,1461,1
6.6,19.1,1539,0
6.7,16.7,1770,0
6.6,21.9,1527,0
6.7,20,1701,0
6.7,16.8,1533,0
6.7,16.4,1655,0
6.7,15.5,1538,0
6.7,16.8,1699,0
6.7,18,1615,0
6.7,16.8,1755,0
6.6,17.3,1605,0
6.6,15.4,1762,0
6.6,20,1510,0
6.7,18.4,1516,0
6.7,21.3,1636,0
6.7,19.4,1521,0
6.6,16.9,1649,0
6.6,20,1630,0
6.7,23.1,1637,0
6.7,13,1468,0
6.7,16.9,1538,0
6.7,17.2,1596,0
6.7,11.4,1384,0
6.7,21.9,1559,0
6.6,23.3,1681,0
6.4,32.2,1577,0
6.7,16.2,1631,0
6.6,19.4,1664,0
6.7,13.4,1552,0
6.8,13.4,1658,0
6.8,17.1,1629,0
6.7,15.3,1577,0
5.8,62.6,1661,0
6.7,17.1,1631,0
6.7,16.4,1612,0
6.7,14.4,1651,0
6.7,18.2,1730,0
6.6,20.8,1579,0
6.7,17.4,1607,0
6.7,17.7,1606,0
6.7,17.1,1584,0
6.7,16.3,1640,0
6.7,17.6,1578,0
6.7,15.8,1607,0
6.7,13.8,1617,0
6.7,17.7,1678,0
6.8,18.1,1599,0
6.7,14.3,1681,0
6.7,16.3,1663,0
6.7,16.5,1691,0
6.7,16,1658,0
6.7,16.4,1750,0
6.7,12.9,1545,0
6.6,20.4,1475,1
6.5,27.1,3.7,1
6.6,23.7,2.68,1
6.5,24.9,2.66,1
6.6,19.5,1322,1
6.4,32.8,2.67,1
6.3,31.7,2.18,1
6.5,25.6,1518,1
6.3,37.7,2.57,1
6,52.8,1419,1
6.7,17.6,1550,1
6.1,47.9,1478,1
6,48.1,1424,1
6.4,33.4,3.22,1
6.1,49.2,2.96,1
6.3,30.3,1502,1
6.6,20.6,1491,1
5.8,61.6,2.09,1
6.6,19.7,2.51,1
6.5,25.4,1650,1
6.8,23.1,1838,1
6.6,34.2,1242,1
6.5,35.1,1256,1
6.5,21.5,2.65,1
6.5,19.3,2.05,1
6.8,20.9,1233,1
6.6,27,2.85,1
6.6,16.7,2.16,1
6.7,24.4,1488,1
6.6,17.7,1570,1
6.8,6.5,1526,1
6.7,10.2,1328,1
6.4,38.8,2.17,1
6.5,21.1,1309,1
6.6,32.4,2.88,1
6.5,41.2,2.13,1
6.6,16.2,1287,1
6.6,25.6,2.22,1
6.7,22.4,1687,1
6.6,15.4,2.24,1
6.5,24.9,1198,1
6.6,14.8,1471,1
6.5,21.8,1433,1
6.4,44.3,2.39,1
6.5,20.5,2.49,1
6.7,23.9,1262,1
6.7,29.3,2.67,1
6.4,27.2,1677,1
6.4,30.6,3.23,1
6.7,13.8,1337,1
6.5,17.6,1335,1
6.4,28.2,1333,1
6.5,25.9,1375,1
6.7,10.7,1448,1
6.6,18.7,2.75,1
6.8,8.3,1267,1
6.5,21.3,1213,1
6.4,20.7,1397,1
6.7,10.1,1252,1
6.3,18,1266,1
6.4,21.3,2.52,1
6.5,25.5,1333,1
6.6,18.7,1688,1
6.3,34.2,1894,1
6.6,16.9,1350,1
6.5,22.4,1364,1
6.4,28.6,1501,1
6.3,31.3,1429,1
6.3,34.2,2.99,1
6.1,40.5,1472,1
6.4,27.6,2.72,1
6.4,33.2,1439,1
6.3,32.3,2.58,1
6.2,39,1441,1
6.8,2.2,1069,0
6.8,8.1,1265,0
6.8,7.6,1299,0
6.8,7.2,1316,0
6.8,10.7,1513,0
6.7,11.4,1486,0
6.7,10.1,1316,0
6.7,10.8,1357,0
6.8,8.6,1314,0
6.7,10.1,1417,0
6.7,9.6,1321,0
6.8,8.3,1383,0
6.7,10.5,1410,0
6.7,10.4,1417,0
6.7,9.4,1385,0
6.7,11.3,1439,0
6.7,11.7,1450,0
6.7,10.3,1494,0
6.7,12.3,1437,0
6.8,7.7,1311,0
6.7,9.6,1489,0
6.8,7.5,1278,0
6.7,9.2,1322,0
6.8,8.1,1312,0
6.7,11,1414,0
6.7,10.2,1434,0
6.7,10.1,1421,0
6.7,9.9,1399,0
6.7,10,1472,0
6.7,10.2,1399,0
6.7,13.8,1661,0
6.7,11.9,1586,0
6.6,14.5,1624,0
6.7,11.6,1547,0
6.7,13.8,1588,0
6.6,14.3,1691,0
6.7,13.4,1728,0
6.6,15.6,1649,0
6.7,13.5,1658,0
6.7,13.8,1558,0
6.6,16.9,1597,0
6.7,14.8,1650,0
6.6,17.7,1622,0
6.6,16.1,1617,0
6.6,14.2,1412,0
6.6,17.3,1632,0
6.5,20.3,2.2,0
6.5,19.2,1592,0
6.6,16,1644,0
6.6,16.9,1619,0
6.6,15.9,1595,0
6.6,15.8,1520,0
6.6,16.9,1530,0
6.6,17.3,1511,0
6.6,15.8,1482,0
6.6,17.6,1538,0
6.4,26.1,2.17,1
6.4,31,1442,1
6.4,30.8,3.43,1
6.6,19.9,1605,1
6.5,22.1,2.23,1
6.5,21.8,1540,1
6.5,22.4,2.29,1
6.6,17.8,1604,1
6.4,29.6,2.19,1
6.5,254.6,1573,1
6.4,27.8,2.54,1
6.6,19,1453,1
6.5,25.8,2.72,1
6.6,17.7,1503,1
6.3,30.7,2.52,1
6.4,26,1470,1
6.3,35.7,2.54,1
6.4,27.5,770,1
6.2,38.9,1397,1
6.2,37.1,1437,1
6.5,22.1,1659,1
6.2,40.6,2.82,1
6.4,30.6,1584,1
6.2,35.3,1599,1
6.3,33.6,1596,1
6.3,31.9,1610,1
6.2,37.4,2.91,1
6.6,19.4,1727,1
6.4,32.2,1747,1
6.5,23,2.59,1
6.7,14,1450,1
6.5,18,1418,1
6.3,30.8,3.42,1
6.5,19.2,1378,1
6.6,16.6,1434,1
6.2,30.8,2.92,1
6.4,30.5,2.94,1
6.2,39,2.42,1
6.1,41.2,2.69,1
6.3,30.2,2.8,1
6.4,27.6,2.19,1
6.4,22.1,1452,1
6.5,21.5,1483,1
6.5,21,2.25,1
6.6,14.2,1474,1
5.4,22.8,813,1
6.2,36.1,1709,1
6,26.6,810,1
6.2,37.2,1614,1
6.3,33.7,1625,1
6.1,42.2,1447,1
5.3,46,1473,1
6.2,36.9,1915,1
6.1,24.3,1423,1
6.4,27.8,2.42,1
6.4,40.7,1563,1
